STATION,Lon,Lat,IS_ON_CAMPUS,Area_Type
La_Plata_Beach,-76.9456,38.99282,TRUE,Recreation
Cumberland_Hall,-76.94428,38.99246,TRUE,Residential
Eppley,-76.94615,38.99324,TRUE,Recreation
Denton,-76.94918,38.99282,TRUE,Residential
Clarice,-76.94956,38.99015,TRUE,Recreation
Tawes_Hall,-76.94894,38.98612,TRUE,Transportation
Cole_Student_Activites_Bld,-76.94588,38.98802,TRUE,Recreation
Prienket_Hall,-76.94495,38.98263,TRUE,Residential
South_Campus_Diner,-76.94357,38.98243,TRUE,Commercial
Target,-76.9377,38.98224,FALSE,Commercial
Lot_15,-76.93613,38.98098,TRUE,Residential
Leanord_Town,-76.93341,38.98319,TRUE,Residential
Ritchie,-76.93662,38.9854,TRUE,Recreation
Skinner_Hall,-76.94177,38.9845,TRUE,Education
Mckeldin_Mall,-76.94271,38.98519,TRUE,Education
Courtyards,-76.94205,39.00232,TRUE,Residential
The_Hall,-76.93411,38.98603,FALSE,Commercial
The_Hotel ,-76.936,38.9866,TRUE,Commercial
Engineering_Bld,-76.93724,38.98947,TRUE,Education
Reagents_Drive_Garage,-76.94081,38.98995,TRUE,Transportation
North_Stem,-76.94081,38.98995,TRUE,Education
Terrapin_Trail_Garage,-76.94259,38.99517,TRUE,Transportation
XFINITY_Centre,-76.94023,38.9963,TRUE,Commercial
Guilford_Drive,-76.93872,38.97767,TRUE,Residential
Domain,-76.94886,38.98449,FALSE,Residential
Park_Town_Hall,-76.93824,38.97274,FALSE,Residential
Wells_Parkway,-76.94617,38.97365,FALSE,Residential
Riverdale_Park,-76.93674,38.97058,FALSE,Residential
College_Park_Metro_St,-76.92912,38.97811,FALSE,Transportation
Varsity_Apartments,-76.93417,38.99056,FALSE,Residential
Cambria_Suites,-76.93284,38.99262,FALSE,Commercial
View_Apartments,-76.93329,38.99292,FALSE,Residential
Berwyn_Trolley_Trail,-76.92654,38.99472,FALSE,Residential
LIDL,-76.93145,38.99576,FALSE,Commercial
Monument_Village,-76.93048,39.0045,FALSE,Residential
Greenbelt_Metro,-76.91383,39.01052,FALSE,Transportation
Hollywood_Shopping_Ctr,-76.92134,39.01372,FALSE,Commercial
